,comment
150,"medium-size, peeled and seeded"
151,"large, cored and seeded"
152,medium-size
153,concentrated duck or veal (glace de viande)
154,reserved (see note)
155,finely minced fresh
156,2 tablespoons from cooking duck breasts
157,moulard (magret de canard)
158,cut into 1-inch-long pieces
159,shaved
160,diced spanish
161,"zested, for garnish (optional)"
162,"finely crumbled, for rimming the glass"
163,or honey
164,chopped fresh or 1 teaspoon dried
165,1 6-ounce can
166,no-salt-added whole
167,"large, minced"
168,extra-lean ground
169,for grilling
170,"steaks, 1-inch-thick"
171,"fillets, dried on paper towels"
172,diced red
173,grated rind from
174,large flat-leaf
175,or more
176,chicken or vegetable
177,"italian or sourdough, torn into 1-inch pieces"
178,1 2-pound-3-ounce can best-quality italian
179,"large, crushed"
180,"extra virgin, plus additional oil for topping (optional)"
181,plus 4 coriander sprigs
182,"small ripe, skinned and pitted"
183,(tahini)
184,peeled and crushed
185,medium yolks
186,"bittersweet, chopped"
187,"split lengthwise, seeds scraped"
188,to garnish (optional)
189,as needed
190,softened
191,"in oil, drained"
192,peeled and sliced lengthwise into thirds
193,1 4-pound bone-in
194,(optional)
195,chopped plus 6 sprigs mint for serving
196,freshly squeezed
197,"dried, quartered"
198,"dried, cut in half"
199,firm tart
200,firm
201,"2 2-inch long pieces (peeled with a vegetable peeler), preferably meyer"
202,"plump, split in half lengthwise"
203,coarsely chopped toasted
204,peeled and minced
205,"minced, plus more for garnish"
206,"fresh or dried hot, minced, or 1/4 teaspon cayenne, or to taste"
207,freshly ground to taste
208,peanut or other
209,plus 2 tablespoons
210,(all should be about 1/2-inch thick and about 3 inches round; cut accordingly)
211,"fillet of or other mild, delicate white fish"
212,baking weighing about 1/2 pound
213,plain for serving
214,diced for serving
215,diced or sliced strawberries for serving
216,star
217,peeled and sliced
218,pure (see note)
219,3/4 ounce see note
220,(about 1 1/4 cups) dried (see note)
221,bottled
222,melted for brushing
223,"sweet, melted"
224,cold
225,low-fat
226,fresh or strawberries
227,store-bought
228,"chopped (french candied chestnuts), see note"
229,warm
230,2 packages
231,"(french chestnut puree), see note"
232,split in half
233,1 can in syrup
234,"1 package, plus 1 teaspoon"
235,coarse freshly ground to taste
236,preferably homemade
237,peeled
238,halved
239,1 8- to 10-pound
240,"peeled, cored and chopped"
241,"medium, chopped"
242,or madeira
243,pitted
244,coarse to taste
245,powdered
246,crushed
247,"small, shelled"
248,"medium-size red, about 1/2 pound, cut into thin rings"
249,"medium-size, about 3/4 pound, cored and cut into small wedges"
250,"whole, about 1/2 pound, peeled and cut into thin rounds"
251,"coarsely chopped, trimmed, green part and all"
252,"reasonably packed romaine broken into fairly large, bite-size pieces"
253,dried hot
254,fresh with stems and leaves
255,"corn, peanut or vegetable"
256,"lean, tender, preferably fillet"
257,"(or apples), peeled, cored and sliced"
258,"(sherry, champagne or white wine vinegar)"
259,like gewürztraminer or riesling
260,a few sprigs
261,roughly chopped
262,"cut into serving pieces, excess fat removed"
263,scant
264,halved and thinly sliced crosswise
265,cumin or caraway
266,green
267,red or green
268,"black or mixed, bruised; more for garnish"
269,"large red, peeled and sliced into thick rings, rings separated"
270,"fresh, plus more for garnish"
271,diced
272,green tops optional
273,"minced fresh(about 6 inches ginger root, peeled)"
274,"(french-style slim haricots verts work especially well), trimmed"
275,or vermouth
276,black mustard or poppy seeds
277,to 3 pounds
278,"freshly squeezed, more to taste"
279,for dredging
280,unsalted
281,minced 
282,fresh (if available)
283,"medium-size, peeled and sectioned"
284,chopped red
285,olive or vegetable or corn
286,grated parmesan or pecorino
287,washed and drained
288,coarsely chopped italian
289,"red ripe, about 1 pound, peeled and cut into 1/2-inch cubes"
290,cut
291,about 1 1/4 pounds
292,"skinless boneless, about 1 pound"
293,about 3 pounds
294,(1 can) flat fillets
295,"whole (double) (see note), including the wings, about 5 pounds; or 6 boneless turkey steaks; or 2 to 2 1/4 pounds of other turkey meat"
296,"salted, coarsely ground"
297,"finely sliced hearts, with leaves"
298,toasted and ground
299,"grated, preferably fulvi"
300,grated zested of
301,"(chèvre), (4 ounces), softened"
302,"(8 ounces), softened"
303,fresh whites
304,good quality
305,fresh yolks
306,bourbon or whiskey
307,shelled
308,shelled salted
309,double acting
310,sifted
311,"chopped candied, or 1/4 cup freshly grated orange zested"
312,candied
313,from agen or use more dates
314,for pans
315,"grated zested from, preferably meyer; cut lemons into large wedges"
316,unshucked scrubbed
317,or 1 stick
318,"or grapeseed oil, or canola oil or other neutral oil"
319,plus 2 egg yolks
320,fresh leaves
321,"peeled, coarsely chopped"
322,"small, peeled, finely chopped"
323,"medium, about 2/3 pound, peeled, coarsely chopped"
324,homemade or low-sodium canned
325,"fresh, cut into 1/4-inch dice"
326,"meaty, quartered"
327,"like mustard or dandelion, rinsed and shredded"
328,minced fresh
329,fresh minced
330,see above
331,cut into 1-inch pieces
332,"peeled, cut into 1-inch pieces"
333,"medium, about 1 pound total, peeled, cut in half"
334,cut into small pieces
335,"medium, about 1 pound, cut into thin round slices"
336,"medium, peeled, cut into paper-thin round slices"
337,"stems removed, finely chopped"
338,"medium, about 2 pounds, peeled, cut into 1-inch chunks"
339,"medium, smashed, peeled and mashed to a paste"
340,drained
341,minced fresh italian
342,"3 7-ounce jars roasted, drained"
343,"medium, cored, peeled and cut into chunks"
344,one-pound (each 10 inches long and 2 1/2 inches in diameter)
345,grinds fresh
346,scant ground
347,sliced into thin wedges
348,peeled (20 to 24 a pound)
349,"kosher, to taste"
350,"seeded, de-veined and cut into chunks"
351,"trimmed, washed plus 75 nice leaves for garnish"
352,"white pith removed, about 1/2 inch wide and 3 1/2 inches long"
353,kalamata (preferred) or gaeta
354,bunch fresh to yield 1 tablespoon chopped
355,tiny thin-skinned
356,oil-cured
357,"whole red, or 5 ounces chopped, ready-cut onion (1 1/3 cups)"
358,grated zested
359,toasted and chopped
360,"fresh, pitted and cut into 1/2-inch dice"
361,"large granny smith, peeled, cored and cut into 1/2-inch slices"
362,all-purpose
363,old-fashioned
364,kosher freshly ground to taste
365,chopped italian
366,pitted and sliced
367,"fresh, pitted and thinly sliced"
368,"small fresh, roughly chopped"
369,"large, peeled and roughly chopped"
370,"whole, trimmed of wing tips and excess fat"
371,pitted and thinly sliced lengthwise
372,for greasing the pan
373,3-inch
374,"chopped pitted, plus 12 dates, peeled, halved lengthwise and pitted"
375,plus more for greasing the pan
376,(from crumbled cookies)
377,greek or whole
378,(one 12-ounce bag) frozen
379,"(or 4 large slices, halved) stale or day-old"
380,more if desired
381,6 ounces
382,for baking dish
383,golden baker's natural or other light brown sugar
384,for dusting
385,"frozen concentrate, thawed"
386,separated
387,for greasing the dish
388,brut
389,at least 6 ounces each
390,yolk
391,golden (white fish)
392,angel-hair
393,calvados or other
394,about
395,about 1 1/2 to 2 pounds
396,"grated, plus extra for garnish"
397,medium
398,medium (about 1 pound)
399,"kaffir, very thinly shredded"
400,or more (fish sauce)
401,very thinly sliced
402,palm
403,kaffir
404,"whole kaffir, for garnish"
405,"washed, dried and chopped"
406,fish sauce
407,"stemmed, seeded and minced"
408,trimmed and quartered
409,"kaffir, very thinly sliced"
410,kaffir (see note)
411,"chopped fresh for garnish, optional"
412,"several sprigs fresh, or 1 teaspoon dried thyme"
413,fruity
414,"cleaned, the bodies cut up if large"
415,tinted for decoration (optional)
416,"slivered, slightly crushed, for decoration (optional)"
417,more if cookie cutters are used
418,or margarine
419,"shelled, coarsely chopped"
420,"dried, pitted, coarsely chopped"
421,"dried, cut into 1/2-inch pieces"
422,"(approximately 2 large loaves or 4 mini-loaves), cut into 1-inch cubes"
423,"dried, stemmed"
424,"blanched, toasted and finely ground"
425,"yolk, whisked with 1 tablespoon water"
426,"cold, cut into pieces"
427,"dried, halved"
428,"pitted, quartered"
429,for garnish
430,"dried, coarsely chopped"
431,1 750 millileter bottle
432,"zested of, removed in long strips"
433,boiling
434,grated fresh
435,"dark, packed"
436,pear brandy
437,"large ripe, peeled, cored and quartered"
438,or to taste
439,"golden, preferably jona gold, peeled, cored and cut into large chunks"
440,"medium size, peeled and cut into large chunks"
441,"medium (2 1/2 pounds), peeled and cut into large chunks"
442,"fresh (removed from stems), chopped"
443,or canned broth
444,cooked
445,"extra-virgin, for brushing"
446,cut diagonally into about 20 1/4-inch slices
447,"red or yellow (about 1 1/2 inches in diameter), peeled"
448,"peeled, cored, and diced"
449,"large, halved and sliced into wide ribbons"
450,"medium, diced small"
451,"slab, rind removed and diced small"
452,italian hot
453,"1 8- to 9-pound crown roast of (20 chops), prepared by a butcher from two center rib roasts and tied to form a circle"
454,lightly crushed
455,"small, chopped"
456,"uncooked lean, like loin, or lean butchers' trimmings"
457,melted
458,few
459,"large, peeled"
460,preferably sweetened
461,golden
462,smooth
463,whole-wheat
464,coarse
465,peanut or corn
466,low-sodium or homemade
467,"cubes made from crusty bread, such as a baguette, toasted"
468,"breakfast pork, crumbled"
469,"medium-size, peeled"
470,"shucked small, with their liquid (optional)"
471,turkey or chicken
472,beaten
473,dried (optional)
474,"torn crusty, such as a baguette"
475,13 tablespoons
476,coarsely chopped or pecans
477,or dried cherries
478,finely chopped fresh
479,torn (1 large loaf)
480,or cognac
481,dried or morel mushrooms
482,"peeled and roughly chopped, or chopped chicken or pork (optional)"
483,large (optional)
484,sliced (4 or 5 large ones)
485,frozen
486,"fresh green, snapped into halves"
487,thinly sliced green or white
488,"cured (serrano or prosciutto), preferably in one piece"
489,"white part only, thinly sliced"
490,"ripe, peeled and cut lengthwise into 1/4-inch-thick slices"
491,"ripe, peeled, cored and cut into 1/4-inch-thick rings"
492,"small boneless half-breasts of (about 6 ounces each), skinned"
493,"jumbo, peeled with tail left on, deveined"
494,for greasing baking sheet
495,"1 1/2-inch fresh, peeled and minced"
496,"large, peeled and minced"
497,dissolved in 1 tablespoon cold water
498,corn or peanut
499,quality
500,sliced thinly
501,drained and sliced into matchsticks
502,sliced into 1/4-inch cubes
503,"cleaned, deveined and diced"
504,cleaned and sliced into matchsticks
505,finely ground
506,preferably molasses vinegar
507,peeled baby
508,grated or pecorino romano
509,1 28-ounce can crushed in puree
510,"greek, plus a little for coating the eggplants"
511,"large, about 1 1/2 pound each"
512,"mild cheese, grated"
513,dissolved in 1 teaspoon water
514,heated until warm
515,"melted, plus 4 tablespoons at room temperature"
516,plus a pinch
517,fresh from french or italian bread
518,extra-large
519,"melted, for basting"
520,course and freshly ground pepper to taste
521,large chopped
522,safflower or peanut
523,casing removed
524,10-to 12-pound
525,"small, coarsely chopped"
526,"red, about 1/3 pound"
527,dijon
528,medium-size belgian
529,"raw, trimmed"
530,"grated, optional"
531,coarsely chopped fresh or italian flat parsley
532,imported canned crushed
533,about 1 pound
534,"freshly ground, to taste"
535,grated (about 1 1/2 cups)
536,"(each 6 to 8 ounces), washed and pricked a few times with a fork"
537,"peeled, smashed and minced"
538,"large cooked (about 8each), peeled and cut into 1/4-inch slices"
539,or cognac
540,good-quality stale white
541,"small fresh, each about 3/4 pound, boned but left whole"
542,"juice and zested of, plus a second lemon"
543,finely chopped flat-leaf
544,"medium, finely chopped"
545,"slab, diced"
546,bucatini or spaghetti
547,"jam, maple syrup or confectioners' sugar (optional)"
548,"good-quality white, each an inch thick"
549,"chicken or beef stock, or water"
550,lightly mashed and peeled
551,"center-cut, 2 pounds or more"
552,prepared
553,"about 7 ounces each, skinned and boned"
554,"diced, peeled"
555,"chopped, white part only"
556,lightly toasted hulled
557,preferably homemade 3 cups half-and-half
558,"cups peeled, cubed (flesh of a three-pound pumpkin)"
559,chopped or plain white mushrooms
560,"sliced, lightly toasted"
561,"medium-size, peeled, cored and chopped"
562,"1 3- to 4-pound, preferably kosher or free-range, cut into 8 or 10 serving pieces"
563,"slightly sweet, preferably german"
564,"medium to large (about 1 1/2 pounds), peeled and sliced"
565,"or neutral-flavored oil, like canola"
566,homemade or store-bought vanilla
567,"fully ripe, preferably bosc or bartlett"
568,preferably a heavy and coarse wine like a zinfandel
569,"freshly ground, preferably white, to taste"
570,or heavy cream
571,or 1/2 cup plus 1 tablespoon
572,"to taste, if desired"
573,"large, about 4 pounds, peeled"
574,2-inch length
575,preferably heavy and coarse like a zinfandel
576,fresh or dried
577,"trimmed 3-ounce piece of fresh, or 1 teaspoon dried ground ginger"
578,trimmed and coarsely chopped
579,"about 1/4 pound, trimmed and cut into thin slices"
580,small fresh or 1 teaspoon dried
581,fresh or 1 teaspoon dried
582,peeled and coarsely chopped
583,"medium-size, about 1/2 pound, thinly sliced"
584,8-pound well-trimmed saddle of with spine bone left intact
585,"small hot red or green, stems removed"
586,"rich, preferably homemade, although canned broth may be used"
587,"fresh, finely chopped, or 1/2 dried"
588,about 1/2 pound
589,"large, about 5 ounces, trimmed and scraped"
590,the smaller the better
591,"shucked fresh on the cob, or 5 cups canned, well-drained or frozen whole-kernel corn"
592,"ground, preferably white"
593,"finely chopped seeded, deveined (add more or less according to taste)"
594,"red, ripe, about 2 1/2 pounds"
595,finely chopped red
596,see recipe
597,"finely chopped fresh leaves, or half the amount dried"
598,see note
599,shucked with empty shells set aside
600,3 tablespoons
601,"from a baguette, about 1 1/2 inches in diameter, toasted under the broiler"
602,"chopped or chives, or a mixture of both"
603,peeled and chopped very fine (about 1 teaspoon)
604,split into halves and the sinew trimmed from the center (see note)
605,good
606,"freshly ground, to taste"
607,"half olive and half rape-seed oil or a mixture of olive, rapeseed and safflower oils - or 1/4 cup of the above oil and 2 tablespoons of the fat rendered by cooking the turkey skin"
608,"peeled, crushed and finely chopped (1 teaspoon)"
609,large or 2 smaller (choose heads with the whitest possible insides. green leaves tend to be tough and bitter.)
610,skin from 1 14-to-15 pound (about 1 pound)
611,a few
612,dissolved in 1 tablespoon water (optional)
613,chopped (about 3 cloves)
614,chopped (about 6 to 8)
615,"dried, soaked in 3 cups lukewarm water for 1 hour"
616,"of cleaned cut into 12 large scaloppines, about 6 ounce each, pounded until about 3/8-inch thick"
617,blanched
618,"quantity may go from 3 to 5 cups, depending on the brown rice's absorption quality"
619,peeled and finely chopped (about 2 tablespoons)
620,peeled and chopped (about 2 tablespoons)
621,cut into 1-inch dice
622,"from the legs, plus the 2 wings (wings cut at the joint into halves and each leg cut into 5 pieces, 2 from the drumstick and 3 from the thigh - 14 pieces altogether)"
623,"medium (about 5 ounces), cut into a chiffonnade"
624,"peeled, cut into 1-inch cubes"
625,leaves
626,for dusting (optional)
627,"at room temperature, cut into pieces"
628,rose (see note)
629,"bittersweet, finely chopped"
630,whole or cut up
631,cloves separated but not peeled
632,peeled and quartered
633,"small or shallots, peeled and trimmed"
634,"small peeled (white or sweet) or 2 large peeled , each cut into 8 pieces"
635,"salt-preserved, rinsed well (see note)"
636,extra virgin for drizzling on the plate
637,freshly ground pepper to taste
638,juice and zested of
639,"smoked, cut in strips"
640,"extra virgin, plus oil for greasing ring molds"
641,chopped (optional)
642,fresh finely chopped
643,"baby yukon gold (approximately 6 small potatoes), peeled and grated"
644,(see note)
645,unsweetened
646,"fresh, if desired"
647,if desired
648,"1 can, drained"
649,sticks
650,"large, sliced thin"
651,to taste if desired
652,plus flour for dusting the baking sheet
653,plus butter for greasing a baking sheet
654,"minced, basil or scallion, optional"
655,"raw, peeled and diced"
656,"diced (canned are fine; drain well), optional"
657,14 ounces
658,"short-grain, like arborio"
659,finely chopped
660,"juice of, preferably a meyer"
661,dash
662,"shucked (about 18 oysters), drained"
663,"chopped or prosciutto ham (about 1 ounce), thinly sliced and minced (smithfield, or any good country ham, can be substituted)"
664,homemade or pepperidge farm sandwich white
665,"(1 stick ), plus additional for toast"
666,or white pepper
667,"( 1/2 stick), melted"
668,add a pinch more if you like them a bit hotter
669,"deep-yellow, extra-sharp, grated or finely shredded"
670,"(1 stick), softened"
671,finely slivered
672,well-flavored chicken or vegetable
673,finely chopped green
674,peeled and cut in 1/2-inch pieces (about 3 cups)
675,well-flavored
676,well-seasoned
677,"medium, scraped and sliced 1/4 inch thick"
678,reduced-sodium
679,coarsely grated fresh
680,"red or yellow, cored and chopped"
681,"medium red, chopped"
682,"tender lean, cut in strips"
683,canola or corn
684,peeled and cut into one-inch cubes
685,peeled and cut into 3/4-inch cubes
686,"center-cut, each weighing 8 or 9 ounces"
687,"small, ripe, chopped"
688,toasted cubes
689,"large, chopped"
690,generous pinch
691,cleaned
692,"fines (parsley, tarragon, chives, dill)"
693,"frozen, thawed enough to be rolled easily"
694,"thick-cut, about 1 1/4 pounds"
695,"(1 stick), unsalted softened"
696,(1 1/2 sticks) unsalted
697,"about 1 1/4 pound each, filleted"
698,"fresh, including feathery greens"
699,"large, about 2 to 2 1/2 pounds"
700,"bones, including heads, from such as sole or flounder"
701,including top
702,fresh to taste
703,"fresh, coarsely chopped"
704,"of a small (celery root), peeled"
705,"small, white only, washed well"
706,"small, peeled"
707,or flounder fillets
708,frozen shoepeg
709,1 1/4 pounds each
710,"medium, white and light-green parts only, in 1/4-inch dice"
711,"(about 5 medium) russet, peeled, quartered lengthwise, and sliced"
712,in 1/4-inch dice
713,"chopped, for garnish"
714,or water
715,peeled and cut into chunks
716,peeled and roughly chopped
717,cut into chunks
718,roughly 1 lb. each
719,melted or margarine
720,"mediterranean, pitted and chopped"
721,lukewarm
722,all-purpose plus 2 teaspoons flour for sprinkling
723,"flat with stems, diced"
724,"(also known as california sunchokes), peeled"
725,"medium, peeled and diced in 1/2-inch pieces"
726,for frying
727,3 pounds
728,"medium, peeled and quartered"
729,or chicken stock
730,chopped or parsley
731,about 2 1/2 pounds
732,peanut or vegetable
733,finely chopped (optional)
734,firmly packed light
735,finely grated unsweetened
736,large whites
737,hot or more to taste
738,fresh to yield 1 tablespoon chopped
739,"canned, drained"
740,"whole yellow or red, chopped (1 1/2 cups)"
741,"large, chopped (2 1/4 to 2 1/2 cups)"
742,or basil
743,well scrubbed with beards removed
744,"fresh, or 1 teaspoon dried"
745,"ripe, cored and cut into half-inch cubes"
746,"cored, seeded and finely chopped"
747,or turmeric
748,"skinless, boneless"
749,"two crust, 9-inch"
750,"or winter squash, peeled and cut in 1-inch cubes"
751,or 1 1/2 pounds ready-cut cauliflower florets (7 to 8 cups)
752,11 ounces chopped ready-cut onion (2 1/4 to 2 3/4 cups)
753,or lemon halves
754,about 1 1/2 pounds
755,italian
756,about 2 pounds each
757,finely chopped fresh or half that amount dried
758,"finely chopped sweet, preferably red"
759,"for garnish, optional (see mussel recipe)"
760,"skinless, boneless, or another firm-fleshed, nonoily white fish like black bass or cod"
761,finely chopped italian
762,well-scrubbed
763,packed in oil
764,"medium-size, about 1 pound"
765,fine fresh
766,chopped toasted or pecans
767,large ripe
768,large yolks
769,clarified
770,large (more if necessary)
771,medium-dry
772,"cognac or armagnac, approximately"
773,crumbled dried
774,peeled and flattened with knife blade
775,4 tablespoons
776,clarified or rendered chicken fat
777,"or more quatre, made from 10 ground cloves, 1 ground cinnamon stick, 2/3 teaspoon ground ginger and 3/4 teaspoon freshly grated nutmeg"
778,peeled and finely chopped
779,"or more freshly ground, or to taste"
780,"13 sprigs parsley, 2 sprigs thyme, 1 bay leaf and 1 leaf of fresh celery tied in cheesecloth"
781,"medium-size, coarsely chopped"
782,"medium-size, peeled and coarsely chopped"
783,"medium-size, scraped and coarsely chopped"
784,4 1/2 pounds
785,"large red or green, parboiled 2 minutes, until limp"
786,finely ground dried
787,"shelled, parboiled 1 minute, skins removed"
788,"(1 ounce), peeled and pounded in a mortar"
789,white
790,"(4 ounces), finely diced"
791,"fresh, trimmed of all veins"
792,fresh fatback
793,strong
794,cut into 1/4-inch cubes
795,whole or chioggia radicchio
796,grated
797,shredded fresh
798,"medium-size, peeled and cut into 1/2-inch chunks, cooked in boiling salted water until almost done"
799,"veal stock, chicken stock, cooking from other radicchio recipes or a combination of these"
800,preferably spanish habichuelas rosadas
801,very thin
802,plus butter to coat baking dish
803,"or treviso radicchio halved lengthwise, or verona radicchio cut into 2-inch-wide wedges"
804,chioggia or verona radicchio
805,roasted and peeled
806,"cored, seeded and diced"
807,"white, peeled and sliced"
808,"soaked overnight, rinsed 2 or 3 times"
809,shavings for garnish (optional)
810,minced crystallized for garnish (optional)
811,"finely chopped, melted and tepid"
812,"fresh peeled, grated (about 2 ounces)"
813,whipping
814,warm (optional)
815,"8-inch of plain white, pound or sponge"
816,or use kirsch or grand marnier
817,"(sold in chinese groceries), ground in a mortar"
818,preferably thin
819,or dry sherry
820,with soybeans (sold in chinese groceries)
821,fresh 1/4 inch thick
822,trimmed
823,"(fresh unsmoked bacon), in one piece"
824,"white part only, trimmed and cut in thin slivers"
825,"with soybeans (sold in chinese groceries), or to taste"
826,"white part only, coarsely chopped"
827,in 2-inch pieces
828,sold in chinese groceries
829,"or gray sole fillets, cut in 2-inch squares"
830,or chestnuts in syrup
831,"instant or instant coffee, dissolved in 1 tablespoon lukewarm water"
832,"(2 sticks), at room temperature and cut into roughly half-inch cubes"
833,yolks from extra-large
834,"extra-large, separated, plus one white (total of 7 whites)"
835,nearly 3 ounces
836,"sifted, plus enough for flouring pan"
837,for greasing pan
838,or strong brewed coffee
839,bittersweet
840,grated zested of (do not cut into bitter white rind)
841,"large, approximately 1/2 pound"
842,each about 1 1/4 to 1 1/2 pounds
843,cooked in salted water
844,"kosher, or to taste"
845,trimmed and cut across into 1/4-inch rounds
846,"medium, peeled and cut into 1-inch cubes (about 3 cups)"
847,"medium, peeled, seeded and cut into 1-inch cubes (about 4 cups)"
848,"medium dried, crumbled"
849,"(about 1 3/4 pounds), washed well, the leaves separated from the stems, the stems cut across in 1/4-inch slices and the leaves cut across in 1/4-inch-wide strips"
850,"smashed, peeled and coarsely chopped"
851,"large, diced into 1/4-inch cubes"
852,"10-ounce package frozen, defrosted in a sieve under warm running water"
853,coarsely chopped fresh
854,"stalks removed, cut in half, cored and cut into thin strips"
855,"green, tips and tails removed"
856,1-by-3-inch
857,1-by-4-inch
858,diced canned or sterile-pack
859,smashed and peeled
860,cut across and between the bones to form 12 pieces about 2 inches square (the butcher will do the cross-cutting.)
861,or more fresh
862,worcestershire or soy
863,outer skin removed
864,"thin, peeled"
865,"medium-size, trimmed"
866,"peeled, cored and quartered"
867,"cooked, chopped"
868,grated rind
869,beaten lightly
870,rinsed well and minced
871,finely cut candied
872,dried and/or dried cherries
873,"3 1/2 to 4 pounds, peeled, cored, quartered and thinly sliced"
874,1 can
875,"2 green and 2 red, yellow or orange, cored, quartered and cut in thin strips"
876,"domestic or cleaned, trimmed and coarsely sliced"
877,"assorted wild, like chanterelle, cremini,shiitake, cleaned, trimmed and coarsely sliced"
878,"large, about 2 pounds, coarsely chopped"
879,"cloves, peeled and quartered"
880,semiboneless
881,finely chopped italian or flat
882,"large firm, washed"
883,"small red-skinned, about 3/4 pound"
884,sea or bay
885,small boneless of about 1 1/4 pounds
886,fresh or 1/2 teaspoon dried
887,or anise seed
888,stems
889,fresh or clam juice
890,"chopped, peeled"
891,or milk
892,"(2 sticks), softened"
893,unflavored
894,sifted all-purpose
895,brandy or whiskey
896,"(4 ounces), softened"
897,pignoli
898,"whole, beaten"
899,"hard-boiled, coarsely chopped"
900,fresh or canned
901,"slices cut into 1/2-inch cubes, toasted"
902,dash of or to taste
903,chopped fresh or 1/2 teaspoon dried
904,chopped green or red
905,corn or vegetable
906,"fresh with ribs, about 4 pounds"
907,thin spiral of peel as garnish
908,"chopped, tabasco sauce and cider vinegar for serving"
909,dried or 1 teaspoon red-pepper flakes
910,fresh or 1 1/2 teaspoons dried
911,or olive oil
912,chunk of country or smoked
913,or other good-quality smoked sausage
914,dried black-eyed or 4 cups fresh or frozen
915,preferably osetra
916,or sour cream
